split,layers,dataset,NLL,RMSE
16,5,boston,2.7275198054649867,4.435552580246547
0,5,energy,0.775815200813703,0.4719442148717683
1,4,boston,3.4604605747702366,5.510280663786736
10,5,concrete,3.1639209731648377,5.793771945081851
3,2,concrete,3.028778137771728,5.085608945667646
18,4,concrete,3.1510291913056045,5.92326793695357
0,1,boston,2.716414919711335,3.80096043845312
12,4,energy,0.7347412432715413,0.4923508119675282
14,1,energy,1.1516779329737814,0.7338493882686553
19,4,boston,2.356734043247396,2.6006976238450177
4,2,boston,2.6378893079010832,4.184311046055065
5,4,energy,0.5817295474925083,0.3716295700456963
10,1,concrete,3.2696545319843926,6.508841359594548
6,5,boston,2.628663343648084,3.3600635777712107
15,2,boston,2.496501989419893,2.909296960173002
3,3,concrete,3.0498417795670405,5.199598327360712
5,1,energy,0.9266908111561308,0.5535432388021331
11,1,concrete,3.1725834998959064,5.796382283012243
4,4,concrete,3.0287240391074235,4.797634625287119
0,2,energy,0.7408334539589574,0.5028314256685363
9,2,boston,2.4672198519719437,2.806162348680132
1,5,concrete,3.1404791208172425,5.8519900727459415
12,1,energy,1.1716731255913024,0.6931051963219275
2,2,boston,2.893591437869975,4.148748134372442
6,3,boston,2.615118629514126,3.287423885033609
14,5,boston,2.638454004486978,3.6157609900353234
16,2,boston,2.696793594062175,4.271487315473135
9,5,concrete,3.1667039910183794,5.976190226925634
12,4,boston,2.5026321187956846,2.9903887253956216
4,1,boston,2.6389782381079927,4.1473005464524615
1,2,energy,0.5253374585633843,0.3432081011234014
8,1,concrete,3.067650489068524,5.126897679773171
5,4,concrete,3.218252409441732,6.3352993028837945
15,5,boston,2.503524426849715,2.938859146931545
13,4,boston,2.478925441002496,2.99162279368729
0,2,boston,2.725772263544449,3.839138942279008
9,1,boston,2.4680217056877223,2.8076556669034947
13,4,concrete,3.0161691667557564,4.875325596639409
11,3,concrete,3.054805141648899,4.975686734370396
13,4,energy,0.7603062357501645,0.4911456573328559
9,4,energy,0.76971225141713,0.4475260170004019
19,5,boston,2.369284693954537,2.555347124915935
7,2,energy,0.6826826537085875,0.465712428384951
8,5,concrete,3.0593792863953606,4.9851912590193015
11,4,boston,2.4750866431496066,2.8560386678018674
12,1,boston,2.494903784705281,2.935591749670805
9,1,concrete,3.223098591878625,6.259850550830028
11,4,concrete,3.0399784411313924,4.839967678671711
3,2,boston,2.6241269113437298,3.7111996147391073
10,3,energy,0.9307416727806006,0.6061305559171104
16,1,boston,2.6792915756090907,4.236610857104672
18,2,energy,0.6961608557667998,0.4838311241831674
2,1,energy,0.9762137551247668,0.6139550255675089
13,2,concrete,2.997594340373082,4.836435782121322
14,4,concrete,3.149429813458165,5.6760585876367085
1,3,energy,0.5756089585151745,0.3657099811482757
11,5,concrete,3.047169477290476,4.901019188559022
2,3,energy,0.6463665463929155,0.4464610933717428
19,4,energy,0.8554399509246825,0.5589057780222615
0,3,boston,2.7047467611770157,3.806396164717103
13,1,concrete,2.989562123753068,4.817519730485769
6,5,concrete,3.0827378134705854,5.30522070378191
19,5,concrete,3.046327008453228,5.052348075174223
1,1,energy,1.175667789319957,0.7346725920238184
8,2,energy,0.6033189454475278,0.4247712631563617
9,2,energy,0.6132419681154767,0.4260363432959805
3,2,energy,0.6807240846205213,0.4638569270068657
7,3,boston,2.679730129827387,4.50072526431095
