split,layers,dataset,NLL,RMSE
0,1,boston,2.716939579665187,3.804022802736197
1,1,boston,3.56958163578209,5.510360396360732
10,1,boston,2.3893171524961607,2.7222336323595786
11,1,boston,2.504996335418917,2.951011534960041
12,1,boston,2.4971613577898437,2.946327846214272
13,1,boston,2.503879759356794,3.1419675571284778
14,1,boston,2.612287783703638,3.4743525528347483
15,1,boston,2.489762263955058,2.8625380677616006
16,1,boston,2.6756633507676693,4.215824609064288
17,1,boston,2.656844313786204,3.617292082421645
18,1,boston,2.4690032653577263,2.721373760867415
19,1,boston,2.3422987967116407,2.669887784511777
2,1,boston,2.89702238442217,4.132295729615815
3,1,boston,2.616475195375407,3.672963748237033
4,1,boston,2.642469205772402,4.156439115644904
5,1,boston,2.539779923648491,3.005846856133659
6,1,boston,2.6453942910450574,3.330862094084295
7,1,boston,2.653689644850335,4.41726832629605
8,1,boston,2.3805549608242447,2.493111241380757
9,1,boston,2.4681744263408025,2.808400885990812
0,2,boston,2.7171454646589743,3.805375584945232
1,2,boston,3.5205926170926367,5.513021322793317
10,2,boston,2.390356086339294,2.734462591383115
11,2,boston,2.493208581404666,2.910254852882457
12,2,boston,2.5057221541255146,3.009970962567708
13,2,boston,2.51133845563291,3.1787873980653165
14,2,boston,2.6089423819851025,3.473686867730777
15,2,boston,2.502872150085832,2.9327531629287424
16,2,boston,2.695244819612121,4.318545721777936
17,2,boston,2.664491783668144,3.6494571625598167
18,2,boston,2.4636157943362385,2.7281748731989244
19,2,boston,2.33491811697756,2.565400249175849
2,2,boston,2.9060685872206977,4.201257580702481
3,2,boston,2.621051700776819,3.718416268947321
4,2,boston,2.627746377740264,4.1227035248808415
5,2,boston,2.5384269413950267,3.0055147577110493
6,2,boston,2.639222359335299,3.3385207531012457
7,2,boston,2.6796473791911115,4.496492804558262
9,2,boston,2.471328894402956,2.815216644380015
0,3,boston,2.700532418432606,3.784026143675957
1,3,boston,3.491680549402488,5.55017004576565
10,3,boston,2.402569909961993,2.751906834573384
11,3,boston,2.484783568740238,2.885513816397116
12,3,boston,2.501924900903668,3.004006786926475
13,3,boston,2.483962973872049,3.084614095124847
14,3,boston,2.61129006729525,3.504371238090617
15,3,boston,2.494696501894559,2.89410740259142
16,3,boston,2.692240113786957,4.227944513769714
17,3,boston,2.655946358731729,3.640070510464545
18,3,boston,2.463019750278214,2.723787655676456
19,3,boston,2.348060506385457,2.5998481179981705
2,3,boston,2.8930405451293866,4.194721217416827
3,3,boston,2.6360347622732507,3.750543780222913
4,3,boston,2.647622128426436,4.238689074380951
5,3,boston,2.5248679729396253,2.951790955224738
6,3,boston,2.628518549509286,3.318994560652836
7,3,boston,2.68069779297688,4.493930874908164
9,3,boston,2.4647237240868263,2.7908858834864576
0,4,boston,2.7233553958178605,3.871074489575166
1,4,boston,3.459201096762563,5.528794189370834
10,4,boston,2.399331218767702,2.729684108179192
11,4,boston,2.470756952258976,2.836970606725277
12,4,boston,2.5053923956792006,3.0219478255085703
13,4,boston,2.4993331648909742,3.103495512908269
14,4,boston,2.6261966538151302,3.565197647458961
15,4,boston,2.485650906437224,2.848442880404794
16,4,boston,2.6946974984141705,4.2735229921849545
17,4,boston,2.6719256740302137,3.716250032325648
18,4,boston,2.469057156717964,2.750215306373993
19,4,boston,2.3656428935930016,2.634364907321613
2,4,boston,2.917936124288876,4.264785338257622
3,4,boston,2.633056603492497,3.747702390762537
4,4,boston,2.6333269116457325,4.133464403259414
5,4,boston,2.516440866162786,2.912597940263143
6,4,boston,2.6136179167510307,3.3077427433018527
7,4,boston,2.685772389264228,4.532712940535721
9,4,boston,2.4564002370425677,2.7645050323566944
0,5,boston,2.715854055092455,3.846038081056653
1,5,boston,3.473108190147828,5.587294364175492
10,5,boston,2.400405848105076,2.716913821682509
11,5,boston,2.4714573886854123,2.838709262556933
12,5,boston,2.528184990810379,3.1190606802094587
13,5,boston,2.483175598951413,3.027331833181833
14,5,boston,2.617821901706701,3.55787600318745
15,5,boston,2.5034120920275966,2.901246497661313
16,5,boston,2.6939932403487563,4.293793998296626
17,5,boston,2.687991205434871,3.7816697412609366
18,5,boston,2.4762605816539662,2.7997878939036696
19,5,boston,2.3527842632300007,2.523982817294413
2,5,boston,2.906730034720084,4.305988037341858
3,5,boston,2.6463095679732165,3.8441505518785615
4,5,boston,2.6511165698558683,4.256172629031901
5,5,boston,2.503345310384062,2.858665357077573
6,5,boston,2.6315010812481248,3.361902283800498
7,5,boston,2.6975721211520214,4.579080376093693
9,5,boston,2.469568272606133,2.8218966862446453
