split,layers,iterations,batch,dataset,NLL,RMSE,CRPS,time
0,1,500000,100,taxi,7.734855019662718,553.2989837338755,283.41612740133144,7889.612249698
1,1,500000,100,taxi,7.7379560200368,555.0281947691616,284.15592877505065,7876.244928467
10,1,500000,100,taxi,7.738352391728285,554.7759376512862,282.38825112419835,3215.307495335
11,1,500000,100,taxi,7.735260252618609,553.5304398134604,283.6042373982577,7844.3897927
12,1,500000,100,taxi,7.732898136220321,552.1928335476424,284.3290544744066,8480.083200365
13,1,500000,100,taxi,7.741737486237571,556.2219628575242,282.8830957509953,8344.143519211999
14,1,500000,100,taxi,7.736795052566575,554.3815084855873,283.88570436773125,2670.1499233580003
15,1,500000,100,taxi,7.736344917501012,553.3781514103863,281.90484549499035,2677.655878381
16,1,500000,100,taxi,7.734049894674912,552.7055392141173,284.4513342299922,7754.363626975
17,1,500000,100,taxi,7.736488002675605,554.0970264047565,285.51390958141815,7293.426557405
18,1,500000,100,taxi,7.737194332438652,554.4699249739824,283.7814922563515,2690.974770862
19,1,500000,100,taxi,7.73363271130324,552.5014033162253,284.36297988076586,7624.352397321
2,1,500000,100,taxi,7.7399061347118785,555.9552222828156,283.68315923068803,7462.912661976999
3,1,500000,100,taxi,7.733130010714165,552.2318311770038,283.25217936238187,7367.748294581001
4,1,500000,100,taxi,7.736453430062443,554.0326763450263,284.8240607651765,7810.312703215
5,1,500000,100,taxi,7.743288282289376,557.9886445288072,284.6587367462859,7621.686032602
6,1,500000,100,taxi,7.738478773518324,555.3141908149395,284.6164782364992,7343.736832124
7,1,500000,100,taxi,7.734714281092819,553.1898984671833,284.09175253722447,8035.051220414999
8,1,500000,100,taxi,7.739512279458352,555.8128851680893,282.99798299884884,7920.894983505001
9,1,500000,100,taxi,7.735107476387779,553.3554924825193,283.0623467212501,2658.682539889
0,2,500000,100,taxi,7.732786997869597,552.1918734531896,282.5890777791719,33776.608813186
1,2,500000,100,taxi,7.735318623827569,553.597160299775,283.8052239020652,38333.350452302
10,2,500000,100,taxi,7.736254236016125,553.6773708326789,281.7253862084915,34163.91002089
11,2,500000,100,taxi,7.732641404861494,552.139667639734,282.96011086161553,34033.332758091994
12,2,500000,100,taxi,7.731359514387684,551.3855789809138,284.1745324909453,14684.405794752
13,2,500000,100,taxi,7.739040061336339,554.8054952317498,282.1233560383744,36765.283239755
14,2,500000,100,taxi,7.734374077135791,553.0548502025214,283.8413305497826,38253.335531732
15,2,500000,100,taxi,7.7341586783400675,552.2166990835237,281.2339767558755,38687.510684311
16,2,500000,100,taxi,7.731081175144798,551.0980611112182,283.50817913307054,38367.044632656
17,2,500000,100,taxi,7.733929302602539,552.7231439453052,285.0064829673989,38655.725784286
18,2,500000,100,taxi,7.7348785747407,553.2352293746563,283.3175502018527,38220.297703201
19,2,500000,100,taxi,7.731281292806707,551.2231105810157,283.3652223390923,38061.098258395
2,2,500000,100,taxi,7.737781559714373,554.8034350668162,282.57310343322825,36192.727821446
