split,layers,iterations,batch,dataset,NLL,RMSE,CRPS,time
0,1,150000,100,boston,2.748551449595249,3.949609006011512,1.9323101560246276,2618.333086128
1,1,150000,100,boston,3.654477683806873,5.752498203226006,2.3754045630723724,2623.5519823120003
10,1,150000,100,boston,2.4228728008902536,2.8707144652820267,1.515110376933015,1075.394880061
11,1,150000,100,boston,2.5101095790732786,2.9770672172939703,1.6636034454092803,1048.5737596400002
12,1,150000,100,boston,2.498080782868355,2.932716621373196,1.6597253969561467,2323.8269476170003
13,1,150000,100,boston,2.5133012277522355,3.0873299467085085,1.695259183581175,2336.50886171
14,1,150000,100,boston,2.619879433231847,3.556686078470768,1.884417749039197,2335.677208783
15,1,150000,100,boston,2.504408244066839,2.9051150244543678,1.6158409762225936,2341.041605938
16,1,150000,100,boston,2.686935485899439,4.244330556411118,2.1393737690721766,2341.2220734340003
17,1,150000,100,boston,2.6644524712328743,3.676960653428565,1.837760259043664,854.747112226
18,1,150000,100,boston,2.495879921802977,2.7922044436471243,1.5825918526806997,849.735154247
19,1,150000,100,boston,2.348779433908649,2.7231560292994046,1.3936144817711558,870.053729144
2,1,150000,100,boston,2.868473888762,4.110701780362958,2.138441061975017,2621.428673302
3,1,150000,100,boston,2.675488060787593,3.870037044487422,1.8768265565698208,1073.411420938
4,1,150000,100,boston,2.645143607904718,4.176504205688078,2.032511537414782,1071.856044427
5,1,150000,100,boston,2.533530592224728,2.974100324588489,1.639884897857433,1074.9086540980002
6,1,150000,100,boston,2.631531906397933,3.292920029246152,1.7819419282097788,1079.16356487
7,1,150000,100,boston,2.663860025956089,4.614261227766971,2.0499035283269404,1082.944490403
8,1,150000,100,boston,2.3758165847800687,2.4659127789890927,1.4218538981418478,1077.042209114
9,1,150000,100,boston,2.4776467443687986,2.7968120520976067,1.588725368592338,1085.547656665
0,2,150000,100,boston,2.744343050345429,3.962454026576302,1.9249735171385736,15252.318766059
1,2,150000,100,boston,3.5978847896674413,5.763067159584066,2.406907889526224,15270.091910631
10,2,150000,100,boston,2.438714134397658,2.8521300230555178,1.5171115436290532,8562.18572892
11,2,150000,100,boston,2.4880377615535507,2.894314947659185,1.623808728722696,8564.727467627
12,2,150000,100,boston,2.529087036314529,3.094212484867825,1.715748126542132,8575.483283967
13,2,150000,100,boston,2.5043450720105462,2.968557646899696,1.6581255119369311,8711.731933602
14,2,150000,100,boston,2.661051817250513,3.7624126723688014,1.9553372407807368,8553.962483803
15,2,150000,100,boston,2.505220865776068,2.8998451238595293,1.6186244663833294,8574.272010932
16,2,150000,100,boston,2.695952765794841,4.379515838414675,2.1406072928969664,8675.88798344
17,2,150000,100,boston,2.6678384936105077,3.722642860406983,1.8517576614648883,8714.105771047001
18,2,150000,100,boston,2.52060539783391,2.9145674292850208,1.64044483864808,7979.466515177
19,2,150000,100,boston,2.359227836642821,2.575557835864664,1.3739919006781594,8636.090617442
2,2,150000,100,boston,2.8806115982343785,4.215099470500758,2.1669638032992937,15471.671041462
3,2,150000,100,boston,2.7042817223970688,3.999551746959239,1.910168273140027,14313.434339185
4,2,150000,100,boston,2.644646811582955,4.2073628480946885,2.007300112614759,14316.068952125
5,2,150000,100,boston,2.5248287655189707,2.946521336074176,1.6319734510010129,14317.131427948
6,2,150000,100,boston,2.621436301198004,3.3073669907384957,1.7771946573023925,14324.133888028
7,2,150000,100,boston,2.710853659763018,4.748933099324501,2.0871184078586884,14442.900558549
8,2,150000,100,boston,2.366367757567569,2.3828827003951214,1.382390771614566,7276.388522045
9,2,150000,100,boston,2.46615238330712,2.7512589078163785,1.568145802349686,7276.375056760999
0,3,150000,100,boston,2.747314904523718,4.009244574452425,1.9198000238369253,15631.887947754
1,3,150000,100,boston,3.5616046312081666,5.8497706837681465,2.442060917942091,16021.798977143
10,3,150000,100,boston,2.468512276988024,2.9563998725949574,1.5558778841969092,15592.345146228
11,3,150000,100,boston,2.496088038133828,2.890484397949916,1.6261404093326055,15589.788398354
12,3,150000,100,boston,2.525485426528068,3.1029279721149035,1.7067304429386854,15597.365031015
13,3,150000,100,boston,2.483655309696411,2.8390633168896997,1.603913748356923,15746.34102883
14,3,150000,100,boston,2.683780575322258,3.868032207764682,1.9867567731979272,25111.843127612
15,3,150000,100,boston,2.513538041528749,2.8942725832564835,1.6211195552257316,25075.088415809
16,3,150000,100,boston,2.679505235568954,4.34544864898718,2.082027013565628,25082.212906672
17,3,150000,100,boston,2.7010264565731164,3.8685193298768152,1.8928360604049277,26104.71520947
18,3,150000,100,boston,2.519466023398424,2.9087066273029336,1.634745466422133,25839.826099439
19,3,150000,100,boston,2.3843768512424286,2.5577061950803626,1.3917772712393384,25867.412467425
2,3,150000,100,boston,2.9112732924307694,4.29722869276693,2.199322302177676,15657.14179537
3,3,150000,100,boston,2.7249023454364583,4.075301133046347,1.93737120709826,15645.082235418
4,3,150000,100,boston,2.6591226471880054,4.308466049877092,2.0289608046081247,15931.029344536
5,3,150000,100,boston,2.51921757404316,2.9073116623830133,1.616995134077598,15903.841140232
6,3,150000,100,boston,2.598416504118914,3.24385213246182,1.7425652618118248,15863.976220022
7,3,150000,100,boston,2.7343941308224697,4.777981001320226,2.117157499168997,15605.358844127
8,3,150000,100,boston,2.367993630117238,2.334989429260516,1.3645415912884002,15559.845402485
9,3,150000,100,boston,2.4519245065098154,2.706284368139608,1.544979415331673,15619.393456336
0,4,150000,100,boston,2.7584040938066297,4.006069507298784,1.911343619856468,37449.769819714
1,4,150000,100,boston,3.536505550061805,5.901624824591183,2.4713996546606167,38101.032005698005
10,4,150000,100,boston,2.4722324289523643,2.958982935522858,1.5398530429029809,36055.730452085
11,4,150000,100,boston,2.4765082335190787,2.785495426505325,1.5779065570063011,38290.176605172
12,4,150000,100,boston,2.544768963292571,3.1586694477335886,1.7298367955174474,37653.51095522
13,4,150000,100,boston,2.4759153434104406,2.788496111296465,1.5765201810952827,37763.748762477
14,4,150000,100,boston,2.6685969416123023,3.816609245463825,1.9527944640703447,38244.387224885
15,4,150000,100,boston,2.531014945617002,2.964937323961432,1.6559440160633998,38077.81484542501
16,4,150000,100,boston,2.708368402954727,4.403789024285427,2.1199907022115214,37631.372956392
17,4,150000,100,boston,2.7148338893675734,3.9286940798037686,1.9098480717092543,37650.76795441
18,4,150000,100,boston,2.544401203454309,3.009871590760144,1.6813874139501177,38189.939065343
19,4,150000,100,boston,2.394750602559215,2.469821447081242,1.3806789836486173,40539.922373445
2,4,150000,100,boston,2.886000967611943,4.34853565673407,2.2108479187759,37914.232348654
3,4,150000,100,boston,2.7468857521839487,4.244792735022823,1.9886451454679757,38052.554912446
4,4,150000,100,boston,2.674399606695276,4.251141157820253,2.048400995809367,38113.970978571
5,4,150000,100,boston,2.5102421429598505,2.854016252946484,1.597164401954085,37847.900305936
6,4,150000,100,boston,2.619712674409804,3.338537155305662,1.789444452969655,38363.12728013
7,4,150000,100,boston,2.747426466332425,4.85502365353261,2.1111180812191166,37784.027386856
8,4,150000,100,boston,2.3885526498710625,2.3201800207807377,1.371880175181278,37946.889321825
9,4,150000,100,boston,2.45438935037253,2.656059149747924,1.5296334201361703,37850.281160028
0,5,150000,100,boston,2.7503609406514533,4.03647780422138,1.9054955736972108,52851.167247081
1,5,150000,100,boston,3.5338871417148447,5.882077727834795,2.4771345508562894,53577.003332073
10,5,150000,100,boston,2.50569401765584,3.0688376204718786,1.5870814106931457,52213.423286581005
11,5,150000,100,boston,2.4858739144983084,2.741041979837552,1.5697630076881968,52911.314436533
12,5,150000,100,boston,2.564832711310553,3.2609088243727355,1.7586393469675274,52515.401387344
13,5,150000,100,boston,2.468902195178082,2.720147185122092,1.547768886310101,52460.250464688
14,5,150000,100,boston,2.6768263673872568,3.9118123587633375,1.9781237396781723,52345.015480298
15,5,150000,100,boston,2.5470635878883603,2.981977835469156,1.6775409347880317,54031.914425637005
16,5,150000,100,boston,2.700521424461107,4.327067702436822,2.1055559681156915,53669.043990105
17,5,150000,100,boston,2.7463644901415654,4.068473253548099,1.9745513490031872,53553.00973909
18,5,150000,100,boston,2.5448391590391437,2.9954117196311496,1.676796967204371,52908.450365627
19,5,150000,100,boston,2.4272178563497206,2.596900943484125,1.4347665343805454,52872.473301243
2,5,150000,100,boston,2.9260225350038,4.441627938350472,2.217796151160231,53518.665979515
3,5,150000,100,boston,2.810388106884183,4.330427043656703,2.021800779046074,52786.983230292
4,5,150000,100,boston,2.6502597228750737,4.178178444071016,1.9878749726995315,52677.635666083
5,5,150000,100,boston,2.505787116739924,2.7623200650051607,1.5741979641299848,52879.743480565
