split,layers,iterations,batch,dataset,NLL,RMSE,CRPS,time
0,1,150000,100,year,3.6289394823128434,9.11972035550691,4.826032189395613,1374.172677986
0,1,300000,100,year,3.627600616731177,9.10727783850668,4.814370681596092,2462.7890841050003
0,2,150000,100,year,3.6091386003106503,8.956028666204412,4.719559003818507,40341.82407684
0,2,300000,100,year,3.6073080278322833,8.937871509763259,4.70509035411491,77268.946510828
0,3,150000,100,year,3.601321322962612,8.898207896791439,4.6810448652132015,78711.843869836
0,3,300000,100,year,3.598432880427617,8.874210898799184,4.665459287589198,160901.483698319
0,4,150000,100,year,3.600704644804436,8.894547529524505,4.669147079510252,120943.283028379
0,4,300000,100,year,3.5980730354752937,8.872463613633832,4.662546623495059,226756.513270624
0,5,150000,100,year,3.5990874444824583,8.87951622373754,4.668419600338865,160358.33989705
0,5,300000,100,year,3.598438026058562,8.877244938596,4.656654607748469,294021.62995375
