vip_layers,regression_coeffs,time,LOSS,NLL,Error
[1],20,5620.678489301,1859.4234619140625,0.1330747753381729,0.0186006426811218
[1],50,14209.799288719,1770.6099853515625,0.1447333842515945,0.0190004110336303
"[30, 10]",20,9288.708833503,2245.359619140625,0.0756621435284614,0.0143004655838012
"[30, 10]",50,25360.544624689,1920.6749267578125,0.0643810853362083,0.0140004754066467
"[30, 30, 10]",20,8336.09737417,2658.79052734375,0.0852052569389343,0.0172005891799926
"[30, 30, 10]",50,16290.462975166,2101.771484375,0.090053990483284,0.0164005160331726
"[30, 30, 30, 10]",20,21329.276903323,3042.567138671875,0.0961992666125297,0.0198004245758056
"[30, 30, 30, 10]",50,20274.339309085,44369.50390625,0.7041180729866028,0.9005999714136124
"[30, 30, 30, 30, 10]",20,10489.587105399,44811.27734375,0.7092427611351013,0.9018000289797784
"[30, 30, 30, 30, 10]",50,16752.430663296,44405.96484375,0.7106485366821289,0.9025999754667282
