epochs,iterations,vip_layers,regression_coeffs,time,LOSS_train,NLL_train,Error_train,AUC_train,LOSS,NLL,Error,AUC
1250,150000,[1],20,4208.278621714,1928.9835205078125,0.1928628534078598,0.081500232219696,0.9786049723625184,2835.7109375,0.2834343612194061,0.1119999885559082,0.9606440663337708
1250,150000,[1],50,5527.629567246,,,,,3027.151123046875,0.302648514509201,0.1225000023841857,0.9558165073394777
167,20000,[1],20,445.961338295,,,,,3518.3642578125,0.345029354095459,0.1500000357627868,0.9315090775489808
1250,150000,"[30, 1]",20,5261.748851435,56.63240051269531,0.002271463163197,0.0001672506332397,0.9997191429138184,8886.822265625,0.7155418992042542,0.1460000276565551,0.9341185092926024
1250,150000,"[30, 1]",50,19316.74451088,,,,,7779.44140625,0.6479572057723999,0.1340000629425048,0.9414923191070556
167,20000,"[30, 1]",20,976.987571432,,,,,3903.206298828125,0.3110311627388,0.1239999532699585,0.9488829970359802
1250,150000,"[30, 30, 1]",20,20008.308121103,59.91035842895508,0.002842164132744,0.0002505779266357,0.9995418787002563,8143.0146484375,0.6261814832687378,0.1365000009536743,0.9405307769775392
1250,150000,"[30, 30, 1]",50,15038.653183742,,,,,7291.712890625,0.5279843211174011,0.1189998984336853,0.9465765953063964
167,20000,"[30, 30, 1]",20,1248.941516483,,,,,3649.013671875,0.2930984497070312,0.1200000047683715,0.954350471496582
1250,150000,"[30, 30, 30, 1]",50,18918.294853905,,,,,7251.8310546875,0.5363388657569885,0.1249998807907104,0.9439474940299988
167,20000,"[30, 30, 30, 1]",20,1528.0414135019998,,,,,3505.47607421875,0.2808507978916168,0.1195000410079956,0.9547734260559082
1250,150000,"[30, 30, 30, 30, 1]",20,12402.609970951,255.90338134765625,0.0045669856481254,0.0002505779266357,0.9996482133865356,7498.24365234375,0.5321322679519653,0.1310001015663147,0.9484007358551024
1250,150000,"[30, 30, 30, 30, 1]",50,87380.246297795,,,,,7412.60205078125,0.568709135055542,0.1254999637603759,0.938451051712036
167,20000,"[30, 30, 30, 30, 1]",20,5369.812322628,,,,,3527.01318359375,0.2771779000759125,0.1165000200271606,0.9560666680336
