vip_layers,split,time,LOSS,RMSE,NLL,CRPS
[1],0,8311.194786087,243.12399291992188,554.92017,7.737763404846191,284.61602783203125
[1],1,7892.072197612,242.64964294433597,554.92645,7.737786769866943,283.4926147460937
[1],10,8026.143818378999,243.04806518554688,555.10803,7.738268375396728,283.4438171386719
[1],11,6193.460187736,242.9710693359375,554.1656,7.736413478851318,284.5155944824219
[1],12,5777.226735814,243.5643768310547,554.99005,7.737894058227539,283.498046875
[1],13,5781.345802135,243.53927612304688,553.73663,7.735643863677978,283.4289245605469
[1],14,24640.660249543,242.7505798339844,553.7014,7.735558986663818,282.4511413574219
[1],15,8737.653708539,243.3701019287109,553.5247,7.735244274139404,285.7727966308594
[1],16,8602.106032554,243.0164337158203,555.2675,7.738415241241455,283.85308837890625
[1],17,1992.200084584,243.2040863037109,555.2402,7.738503456115723,285.2826232910156
[1],18,1988.035009956,243.0674743652344,555.1733,7.738316535949707,283.0763854980469
[1],19,6142.0110771,243.1008453369141,554.09503,7.736274242401123,283.4469909667969
[1],2,8074.141198711,243.587890625,556.2076,7.740114212036133,285.2925720214844
[1],3,6391.06486033,241.81982421875,553.03656,7.734371662139893,283.9725952148437
[1],4,2332.693599602,242.45599365234372,554.0316,7.736165523529053,284.8111877441406
[1],5,6043.647167258,243.79913330078125,555.81854,7.739445209503174,285.1928100585937
[1],6,9701.100521658,243.2313232421875,554.56213,7.737314224243164,283.8866271972656
[1],7,10467.98566532,242.4019317626953,555.03186,7.738163471221924,286.107177734375
[1],8,22821.755573171,242.90054321289065,555.4211,7.738760471343994,284.16607666015625
[1],9,8020.871598428,242.8150329589844,553.1411,7.734555721282959,284.2242431640625
[2],0,10827.332570351,1056.6285400390625,551.4161,7.731429576873779,283.8016357421875
[2],1,10734.120517689002,994.7320556640624,552.20245,7.732834339141846,282.5010681152344
[2],10,3609.795329599,1121.6497802734375,549.3741,7.727638721466064,281.4590759277344
[2],11,3856.424391468,1092.6671142578125,549.0216,7.727047920227051,282.9320678710937
[2],12,3805.603148721,1241.58642578125,543.64343,7.716845989227295,279.7270202636719
[2],13,3855.085303017,989.446044921875,551.18115,7.731004238128662,282.3157653808594
[2],14,11344.194633741,1163.9381103515625,546.52203,7.722503662109375,279.7274475097656
[2],15,10319.040072294,1167.6240234375,545.9278,7.721323490142822,282.3881530761719
[2],16,10568.616031774,1216.770751953125,548.524,7.725944519042969,280.2701110839844
[2],17,10579.190604218998,1040.3958740234375,552.07434,7.732685565948486,284.2551574707031
[2],18,3577.445475451,1143.8238525390625,548.8127,7.7267022132873535,280.2550354003906
[2],19,3659.163511407,977.7560424804688,551.18665,7.730947971343994,282.4304504394531
[2],2,3812.235268384,1061.822998046875,551.5803,7.731722831726074,283.04217529296875
[2],3,3615.902374745,1192.97607421875,544.6211,7.718833923339844,279.62896728515625
[2],4,3629.950385125,1150.6617431640625,546.3581,7.722200870513916,282.2334289550781
[2],5,3787.605101845,1006.4668579101562,552.8068,7.734001636505127,283.7840881347656
[2],6,3787.214183571,957.0620727539062,552.1641,7.7329487800598145,282.0975646972656
[2],7,3898.847572528,1100.2752685546875,550.30963,7.729640007019043,284.0245361328125
[2],8,3840.072246808,1079.0096435546875,550.4298,7.729684829711914,282.25604248046875
[2],9,3652.305636945,1123.0731201171875,547.6107,7.724379539489746,282.8490600585937
[3],0,6028.381557422,2141.872314453125,526.08057,7.680676460266113,273.3306884765625
[3],1,14581.905798727,2137.271728515625,525.5537,7.680548191070557,273.3351745605469
[3],10,14894.194011435,2087.09716796875,526.5259,7.67971134185791,270.588134765625
[3],11,15580.968887524,2128.640380859375,522.9758,7.673322200775146,271.19195556640625
[3],12,5714.341726506,2123.14697265625,533.9151,7.694276809692383,274.309326171875
[3],13,5700.685397783,2113.13916015625,522.08466,7.667856693267822,272.31805419921875
[3],14,5783.967563108,1977.429931640625,536.702,7.701453685760498,276.08966064453125
[3],15,5882.591235002,1888.77001953125,546.5656,7.721870422363281,282.9732360839844
[3],16,23099.762481879003,1994.6182861328125,541.87427,7.708788871765137,279.2907409667969
[3],17,14437.442094457,2120.598388671875,519.369,7.665625095367432,270.7262268066406
[3],18,5719.247578986,2086.799072265625,540.3945,7.707138538360596,275.2975769042969
[3],19,5734.332390412,2193.256591796875,523.0115,7.673768520355225,270.2129821777344
[3],2,14767.624155268,2099.283447265625,536.66235,7.701342582702637,276.45294189453125
[3],3,14206.044246936,2119.830810546875,529.7498,7.686251640319824,272.8226013183594
[3],4,14081.847652487,2185.83349609375,532.59863,7.69444465637207,276.67681884765625
[3],5,14799.323596448,2110.591064453125,531.0644,7.686659336090088,274.7001953125
[3],6,14666.99623971,2060.090576171875,537.9993,7.703444480895996,276.8913269042969
[3],7,15854.89938922,2075.207275390625,535.7027,7.700918197631836,277.20196533203125
[3],8,16677.278486992,2106.1337890625,529.0209,7.686478614807129,273.3670654296875
[3],9,14925.300358181,2067.668212890625,530.59674,7.68833589553833,275.32427978515625
[4],0,7988.118175414,2178.748291015625,550.19464,7.72873067855835,282.6793212890625
[4],1,7562.573597867999,2293.924072265625,547.77625,7.723017692565918,280.6744079589844
[4],10,7495.015461123,1957.4781494140625,551.22003,7.731094837188721,281.6941833496094
[4],11,7576.661778888,2487.912353515625,544.0286,7.713841915130615,281.9350891113281
[4],12,7647.559343385,2728.8779296875,535.70135,7.697666645050049,275.3437194824219
[4],13,7493.539923237,2117.655517578125,549.68585,7.727903842926025,281.673583984375
[4],14,7670.565870253,2503.180419921875,542.9574,7.713285446166992,278.5888061523437
[4],15,7586.996591716001,2643.56005859375,538.4452,7.703218460083008,279.332763671875
[4],16,7654.37684523,1992.4700927734373,551.0583,7.730679512023926,282.6275329589844
[4],17,7802.366313123999,2377.310302734375,546.3946,7.721213340759277,281.20770263671875
[4],18,34835.598484505,2110.299072265625,550.9075,7.7302327156066895,281.4374694824219
[4],19,33398.19963447,2637.974609375,539.59717,7.7035040855407715,278.1026611328125
[4],2,7756.654159033,2161.57958984375,550.5007,7.729021549224853,283.2068786621094
[4],3,7533.639318693,2221.472412109375,547.146,7.7229323387146,280.8553771972656
