dataset_name,vip_layers,bb_alpha,bnn_structure,split,bnn_layer_str,time,LOSS_train,RMSE_train,NLL_train,CRPS_train,LOSS,RMSE,NLL,CRPS
boston,[1],0.5,"[10, 10]",0,BayesLinear,990.661571869,-214.76296997070312,0.063459,-1.364269733428955,0.0346254594624042,296700.25,6.894214,5286.49462890625,5.019702434539795
boston,[1],0.5,"[10, 10]",1,BayesLinear,994.526268032,-209.736328125,0.060479652,-1.3832098245620728,0.0330094210803508,443294.5,7.090764,8075.97509765625,4.1286301612854
boston,[1],0.5,"[10, 10]",10,BayesLinear,698.571593767,-238.711669921875,0.045260914,-1.648728609085083,0.0255511626601219,354367.25,6.2652674,6600.38525390625,4.686420917510986
boston,[1],0.5,"[10, 10]",11,BayesLinear,691.998222124,-238.6167449951172,0.042592134,-1.6546845436096191,0.0245475880801677,285148.375,5.9871187,5109.2861328125,4.605476379394531
boston,[1],0.5,"[10, 10]",12,BayesLinear,840.779008973,-221.32699584960935,0.05053653,-1.4942518472671509,0.0287995785474777,217883.1875,5.779428,3824.76806640625,4.604438781738281
boston,[1],0.5,"[10, 10]",13,BayesLinear,692.200410991,-257.8011779785156,0.028956013,-1.8527979850769043,0.0181540735065937,287484.65625,5.667082,5447.80908203125,4.232824325561523
boston,[1],0.5,"[10, 10]",14,BayesLinear,699.810284616,-229.7574462890625,0.0539311,-1.4984517097473145,0.0297073516994714,284457.84375,6.139865,5139.04638671875,4.761253356933594
boston,[1],0.5,"[10, 10]",15,BayesLinear,701.493128606,-214.0069122314453,0.060412608,-1.39732027053833,0.0335395447909832,223458.671875,5.877873,3672.9921875,4.52799129486084
boston,[1],0.5,"[10, 10]",16,BayesLinear,684.743326443,-249.95852661132807,0.038719628,-1.7571364641189575,0.0221461597830057,359199.75,6.175675,6574.82177734375,4.792816638946533
boston,[1],0.5,"[10, 10]",17,BayesLinear,695.2447070989999,-198.2631378173828,0.07294007,-1.2387092113494873,0.0401239953935146,248035.546875,6.328421,4207.701171875,4.443113803863525
boston,[1],0.5,"[10, 10]",18,BayesLinear,694.177072675,-212.05096435546875,0.060877018,-1.3483468294143677,0.0344828069210052,153102.4375,5.2204776,2481.703857421875,4.162507057189941
boston,[1],0.5,"[10, 10]",19,BayesLinear,914.453553683,-207.09368896484372,0.06637431,-1.2900768518447876,0.03619085252285,276149.25,6.1608105,5104.46142578125,4.797414779663086
boston,[1],0.5,"[10, 10]",2,BayesLinear,982.373632651,-198.304931640625,0.10104391,-1.2840758562088013,0.0374495238065719,287719.0,7.8450503,4651.71435546875,5.167564392089844
boston,[1],0.5,"[10, 10]",3,BayesLinear,974.504584473,-200.6331787109375,0.06569633,-1.3062522411346436,0.0368375591933727,279144.34375,6.867183,4511.2568359375,4.829642295837402
boston,[1],0.5,"[10, 10]",4,BayesLinear,1006.322002257,-203.0303955078125,0.06723329,-1.288727045059204,0.036965038627386,244483.015625,6.503912,4228.04052734375,4.30296516418457
boston,[1],0.5,"[10, 10]",5,BayesLinear,1008.680388778,-218.0187225341797,0.0591199,-1.4186956882476809,0.0330603495240211,272030.84375,5.5072765,4834.04443359375,4.198596954345703
boston,[1],0.5,"[10, 10]",6,BayesLinear,699.555868509,-227.11183166503903,0.05385066,-1.5161701440811155,0.0292657110840082,295474.875,5.719394,5321.3134765625,4.066775321960449
boston,[1],0.5,"[10, 10]",7,BayesLinear,696.7477376850001,-234.0763397216797,0.0445504,-1.589646339416504,0.0252994485199451,382408.1875,7.7915874,6692.8056640625,4.635667324066162
boston,[1],0.5,"[10, 10]",8,BayesLinear,705.9363214509999,-198.36721801757807,0.06697589,-1.2747423648834229,0.037906639277935,173258.9375,5.0418186,2681.9677734375,3.778577089309693
boston,[1],0.5,"[10, 10]",9,BayesLinear,691.519528254,-234.89871215820312,0.04548453,-1.6055642366409302,0.0257956981658935,266613.65625,6.062176,5000.21533203125,4.534588813781738
boston,[1],0.0,"[10, 10]",0,BayesLinear,954.337223644,-239.06082153320312,0.04273135,-1.6893713474273682,0.0236560441553592,272449.75,5.3963227,4960.1962890625,4.090191841125488
boston,[1],0.0,"[10, 10]",1,BayesLinear,960.283581118,-34.885711669921875,0.11846668,0.3496160209178924,0.0750262737274169,353626.03125,6.266761,6495.71533203125,3.6886146068573
boston,[1],0.0,"[10, 10]",10,BayesLinear,1066.306614851,-253.04014587402344,0.03228025,-1.83404278755188,0.0194199364632368,356111.1875,6.1000414,6482.7138671875,4.43894100189209
boston,[1],0.0,"[10, 10]",11,BayesLinear,985.836295661,-240.26242065429688,0.03954571,-1.682276725769043,0.023209860548377,280992.09375,6.0791464,5213.4462890625,4.681272506713867
boston,[1],0.0,"[10, 10]",12,BayesLinear,983.011571889,-235.18157958984372,0.041867398,-1.6282254457473757,0.0246502161026,326125.09375,6.9200497,6054.30126953125,5.000942707061768
boston,[1],0.0,"[10, 10]",13,BayesLinear,984.979295337,-134.08860778808594,0.09093587,-0.58101487159729,0.0511942058801651,342918.5,6.080052,6287.65966796875,4.620394229888916
boston,[1],0.0,"[10, 10]",14,BayesLinear,982.58273332,-245.7730255126953,0.038629636,-1.7369771003723145,0.0219851899892091,255975.59375,5.355668,4741.69189453125,3.889304399490357
boston,[1],0.0,"[10, 10]",15,BayesLinear,1167.757800172,-115.28230285644533,0.09470787,-0.4703690707683563,0.0551967658102512,243566.21875,5.1504636,4451.41162109375,3.912740707397461
boston,[1],0.0,"[10, 10]",16,BayesLinear,1804.917268457,-236.6410980224609,0.04277809,-1.653720498085022,0.0242469329386949,294138.34375,6.1019287,5425.12548828125,4.62803840637207
boston,[1],0.0,"[10, 10]",17,BayesLinear,1803.444820822,-177.3081512451172,0.079337105,-1.0622704029083252,0.0442737154662609,154418.875,4.856329,2845.919189453125,3.799792766571045
boston,[1],0.0,"[10, 10]",18,BayesLinear,1837.888681908,-212.65463256835935,0.05964158,-1.386773705482483,0.0342410318553447,161002.765625,5.209751,2966.73193359375,4.17403507232666
boston,[1],0.0,"[10, 10]",19,BayesLinear,3383.12180978,-244.46127319335935,0.033189397,-1.733293533325195,0.0204803925007581,306382.125,6.487333,5627.40185546875,4.464249610900879
boston,[1],0.0,"[10, 10]",2,BayesLinear,989.060465509,-266.8957824707031,0.0050722505,-1.9318227767944336,0.0136336609721183,266573.5,5.7295604,4857.66650390625,3.904344320297241
boston,[1],0.0,"[10, 10]",3,BayesLinear,959.168559734,-205.1937713623047,0.06317543,-1.3474191427230835,0.0348127819597721,388528.15625,7.512099,7044.39013671875,5.282451152801514
boston,[1],0.0,"[10, 10]",4,BayesLinear,906.278182588,-235.7290954589844,0.043554775,-1.6811705827713013,0.0246720537543296,370055.59375,6.2098384,6338.91455078125,4.2786865234375
