,LOSS,RMSE,NLL,CRPS
0,0.0,5.204548,3.0448465,0.0
1,0.0,4.6103797,2.903762,0.0
2,0.0,7.1818314,3.2190242,0.0
3,0.0,5.840842,2.95441,0.0
4,0.0,4.8793015,2.8837337,0.0
5,0.0,6.882314,2.9808347,0.0
6,0.0,3.8468533,2.7960622,0.0
7,0.0,5.6789403,2.9926057,0.0
8,0.0,7.6056395,3.2354846,0.0
9,0.0,4.8754406,2.8628047,0.0
10,0.0,6.2541857,2.9957433,0.0
11,0.0,5.498206,3.0188718,0.0
12,0.0,4.336021,2.894444,0.0
13,0.0,6.1522517,3.066347,0.0
14,0.0,6.0471983,3.0968142,0.0
15,0.0,6.2134767,2.9284353,0.0
16,0.0,6.326575,2.9452758,0.0
17,0.0,5.0739536,3.0460422,0.0
18,0.0,4.43365,2.844861,0.0
19,0.0,5.602015,3.0742311,0.0
