,LOSS,RMSE,NLL,CRPS
0,525.29205,2.9073138,3.1642385,4.4173064
1,942.97906,3.4732554,4.0799375,4.027488
2,2907.3196,5.5722933,8.194372,4.9833083
3,1142.4891,3.8674312,4.473035,5.0239115
4,982.4949,3.6587625,4.1427608,3.9302135
5,1991.2416,4.824286,6.2534432,5.9660587
6,924.56494,3.5522249,4.008351,4.557942
7,1758.3975,4.3768473,5.704534,4.498797
8,2226.1094,4.8184505,6.7166715,5.1471515
9,914.693,3.4906535,4.002641,4.026956
10,1249.1488,3.8826218,4.6988254,4.7452354
11,1709.3641,4.371201,5.630393,5.236275
12,1193.8363,3.688159,4.581726,3.9755166
13,2883.1714,5.2919774,7.969206,4.9879246
14,1095.4858,3.5103898,4.348615,4.735399
15,810.5253,3.4149158,3.7524607,5.8834414
16,676.1957,3.2102742,3.477803,4.870595
17,1209.5255,3.8100555,4.6208143,4.026621
18,788.94434,3.319473,3.7004142,4.921578
19,527.5532,2.9210427,3.161512,5.313793
