,LOSS,RMSE,NLL,CRPS
0,1430.087,3.7249951,5.049173,4.49099
1,977.6237,3.4295633,4.114242,4.0273247
2,3946.587,5.97478,10.328822,5.0217733
3,1596.5931,4.4420924,5.4041457,5.086673
4,827.8154,3.4073904,3.810562,3.9733238
5,1061.5178,3.5014646,4.2417083,5.9572453
6,867.81146,3.4043396,3.8833003,4.5541935
7,1911.9047,4.37013,6.0387,4.4622483
8,3226.2227,5.4267187,8.800388,5.1331053
9,1247.4863,3.6680784,4.6474094,4.022298
10,1222.0703,3.6922448,4.601408,4.742873
11,2614.8801,4.956422,7.4923506,5.2574697
12,1742.0961,4.1739006,5.7251883,4.0248036
13,2993.3955,5.0841265,8.336409,5.012127
14,1545.0074,4.0107274,5.326338,4.7386284
15,842.1133,3.4815116,3.8033838,5.923578
16,2612.4712,4.9510007,7.5347767,4.8506007
17,1539.5111,4.232501,5.3033333,4.0355263
18,1491.476,4.0358133,5.1524377,4.925303
19,1076.9082,3.5497527,4.3018546,5.336991
