,LOSS,RMSE,NLL,CRPS
0,1330.7611,3.1654332,3.6656327,4.4443746
1,1346.3823,3.2652547,3.3429558,4.015115
2,3754.671,5.443827,6.8253245,4.98999
3,1394.5054,3.368566,3.7699492,4.9888506
4,1402.4432,3.331208,3.4436855,3.922308
5,1097.9357,2.8930943,2.8630276,5.9409513
6,528.96857,2.1021795,2.3168995,4.495329
7,4111.1597,5.3545356,7.476393,4.474346
8,1839.7512,3.9410539,3.8928285,5.113448
9,1281.6675,3.1230075,3.5457501,3.9911757
10,1361.746,3.2265437,3.329609,4.6892896
11,1548.6073,3.2330356,3.384215,5.246485
12,1117.8441,2.9725084,3.0859873,3.950172
13,3428.4866,5.2958016,5.95853,4.9425464
14,1327.5326,3.297815,3.3636518,4.7236633
15,459.55078,2.0362017,2.2266862,5.8310847
16,999.71094,2.8678658,2.8825758,4.848782
17,1617.2421,3.3943794,3.6209657,4.0497537
18,753.16284,2.5942025,2.5691736,4.8912396
19,1482.7706,3.3929672,3.2300143,5.334932
