,LOSS,RMSE,NLL,CRPS
0,0.0,1.3194271,2.125039,0.0
1,0.0,1.0426496,2.079622,0.0
2,0.0,0.7282975,2.0351229,0.0
3,0.0,1.2587293,2.2118986,0.0
4,0.0,1.1250417,2.1036808,0.0
5,0.0,1.2865947,2.1481466,0.0
6,0.0,0.9955183,2.0739455,0.0
7,0.0,1.3018329,2.1436615,0.0
8,0.0,1.0621337,2.122507,0.0
9,0.0,1.0163966,2.0796094,0.0
10,0.0,0.96935123,2.0983708,0.0
11,0.0,0.94070935,2.076213,0.0
12,0.0,1.2852863,2.165262,0.0
13,0.0,1.3942237,2.1283937,0.0
14,0.0,0.9089387,2.1089516,0.0
15,0.0,0.8968914,2.163565,0.0
16,0.0,1.2034959,2.102451,0.0
17,0.0,1.1214556,2.1397398,0.0
18,0.0,1.0110554,2.0942566,0.0
19,0.0,1.1417502,2.0230768,0.0
