,LOSS,RMSE,NLL,CRPS
0,0.0,0.6187087,-1.0785651,0.0
1,0.0,0.674745,-0.9108718,0.0
2,0.0,0.65789187,-1.0796677,0.0
3,0.0,0.6472885,-0.6003278,0.0
4,0.0,0.6036679,-0.6809577,0.0
5,0.0,0.74441844,-0.7840822,0.0
6,0.0,0.6286386,-0.6341733,0.0
7,0.0,0.6551804,-0.60930103,0.0
8,0.0,0.6412497,-0.8453398,0.0
9,0.0,0.72640353,-0.8527918,0.0
10,0.0,0.61608315,-0.73563486,0.0
11,0.0,0.63582426,-0.47845364,0.0
12,0.0,0.7016274,-0.28782493,0.0
13,0.0,0.6414182,-0.9001172,0.0
14,0.0,0.6661837,-1.3475585,0.0
15,0.0,0.71587354,-0.6486215,0.0
16,0.0,0.5973148,-0.8278229,0.0
17,0.0,0.6166094,-0.9715647,0.0
18,0.0,0.629795,-0.5283057,0.0
19,0.0,0.646307,-0.9981424,0.0
